,lrd
138,27.173913043478272
139,50.403225806451594
140,24.476773190577656
141,18.07834223306622
142,18.07834223306622
143,18.07834223306622
144,18.07834223306622
145,28.36337298774992
146,21.80572542399647
147,32.89473684210527
148,9.135810634069195
149,3.686395937221639
150,3.2101253160987713
151,28.36337298774992
152,20.760955629628715
153,27.99550532408766
154,84.45945945945948
155,34.907946982534845
156,28.81311822830916
157,27.60286840245616
158,18.07834223306622
159,27.081879838178182
160,26.850850277019934
161,18.07834223306622
162,18.07834223306622
163,10.647995158267639
164,28.36337298774992
165,21.321669836695698
166,18.07834223306622
167,18.07834223306622
168,30.637254901960784
169,48.82812499999999
170,34.60485327165583
171,27.081879873647146
172,30.94059405940593
173,36.80283104105579
174,27.081879873647146
175,6.100094434816206
176,5.530166871717979
177,28.36337298774992
178,55.121938215062045
179,21.321669836695698
180,18.07834223306622
181,20.760955629628715
182,18.07834223306622
183,48.82812499999999
184,48.82812499999999
185,27.081879873647146
186,28.36337298774992
187,30.94059405940593
188,36.80283104105579
189,27.081879873647146
190,12.755036453527252
191,13.425425138509967
192,7.74528922610402
193,19.188383216926535
194,20.760955629628715
195,18.07834223306622
196,20.760955629628715
197,18.07834223306622
198,28.000000011199994
199,30.94059405940593
200,48.82812499999999
201,13.85510932427569
202,18.07834223306622
203,6.8466940537702925
204,6.471845620961024
205,20.760955629628715
206,18.07834223306622
207,28.36337294700385
208,27.158357323745538
209,18.07834223306622
210,21.80572542399647
211,21.321669836695698
212,18.07834223306622
213,28.000000011199994
214,18.07834223306622
215,18.07834223306622
216,18.07834223306622
217,18.07834223306622
218,18.07834223306622
219,18.07834223306622
220,21.80572542399647
221,27.081879873647146
222,36.80283104105579
223,27.081879873647146
224,12.755036453527252
225,12.984296826297179
226,25.204765067370243
227,18.07834223306622
228,27.888278014373057
229,18.07834223306622
230,18.07834223306622
231,27.49806710345103
232,9.288328605212762
233,8.786087179577958
234,27.49806710345103
235,48.20236338962626
236,15.300375520149384
237,17.538655607201523
238,38.82650126456086
239,21.321669836695698
240,23.67424242424241
241,24.289733967385384
242,18.07834223306622
243,18.07834223306622
244,28.36337294700385
245,50.40953002036838
246,28.36337294700385
247,52.411653530985056
248,24.845323953453452
249,23.67424242424241
250,48.82812499999999
251,38.82650126456086
252,27.081879873647146
253,28.36337298774992
254,20.760955629628715
255,18.07834223306622
256,18.07834223306622
257,16.234840241339487
258,48.953546485900596
259,6.82745046479986
260,6.19992736850862
261,28.36337298774992
262,23.67424242424241
263,38.8265011600415
264,5.594388732223213
265,4.932410916309962
266,27.517126057864804
267,18.07834223306622
268,24.289733967385384
269,18.07834223306622
270,21.80572542399647
271,27.081879873647146
272,17.43598092073153
273,26.57755513208923
274,21.80572542399647
275,30.94059405940593
276,44.64285714285717
277,13.840362870846917
278,12.984296826297179
279,10.602302759038988
280,22.275360344761033
281,18.07834223306622
282,18.07834223306622
283,28.36337298774992
284,20.946680242369396
285,18.07834223306622
286,28.36337298774992
287,21.321669836695698
288,21.80572542399647
289,16.234840241339487
290,18.13084666531262
291,33.60215053763441
292,36.80283104105579
293,27.081879873647146
294,28.36337298774992
295,4.594357995480426
296,4.617491038093566
297,27.081879873647146
298,23.67424242424241
299,24.289733967385384
300,18.07834223306622
301,18.07834223306622
302,28.36337298774992
303,27.081879873647146
304,27.081879838178182
305,13.938450960777597
306,13.102913414883286
307,7.237289465273654
308,13.294701334991213
309,58.96226415094341
310,53.87931034482757
311,24.845323953453452
312,18.07834223306622
313,18.07834223306622
314,28.36337298774992
315,21.321669836695698
316,12.05059087240581
317,13.252878455449354
318,36.15668450833589
