,throughput,new_flow,new_flow_normalized
477,0.01184,0.2,0.0178571429
478,0,0.2,0.0178571429
479,0.01184,0.2,0.0178571429
480,0.02368,0,0
481,0,0,0
482,0,0,0
483,0,0.4,0.0357142857
484,0.02368,0.4,0.0357142857
485,0,1,0.0892857143
486,0.0592,0.6,0.0535714286
487,0.03168,1.4,0.125
488,0.07904,0.6,0.0535714286
489,0.03168,1.4,0.125
490,0.07648,0.2,0.0178571429
491,0.01056,0,0
492,0,0.2,0.0178571429
493,0.01184,0.2,0.0178571429
494,0.01184,0.2,0.0178571429
495,0.26912,1.2,0.1071428571
496,0.06464,0.4,0.0357142857
497,0.0224,0,0
498,0,0,0
499,0,0,0
500,0,0,0
501,0,11.8,1.0535714286
502,0.70112,2.4,0.2142857143
503,0.14272,2.4,0.2142857143
504,0.05536,1,0.0892857143
505,0.23296,4,0.3571428571
506,0.1088,3.4,0.3035714286
507,0.20128,3.4,0.3035714286
508,0.02368,0.2,0.0178571429
509,0.00992,1,0.0892857143
510,0.05216,1,0.0892857143
511,0.06208,0.4,0.0357142857
512,0.01984,0.2,0.0178571429
513,0.01248,0.2,0.0178571429
514,0.048,1.2,0.1071428571
515,0.07104,1.2,0.1071428571
516,0.1312,2,0.1785714286
517,0.1056,0.4,0.0357142857
518,0.02432,1,0.0892857143
519,0.06176,1,0.0892857143
520,0.13056,2.4,0.2142857143
521,0.02368,0.4,0.0357142857
522,0.02368,0.4,0.0357142857
523,0.01248,0.6,0.0535714286
524,0.03456,2,0.1785714286
525,0.1104,2,0.1785714286
526,0.02176,0.4,0.0357142857
527,0.01952,0.4,0.0357142857
528,0.00992,0.4,0.0357142857
529,0.0224,0.4,0.0357142857
530,0.02176,1,0.0892857143
531,0.05344,0.2,0.0178571429
532,0.00992,3.8,0.3392857143
533,0.21088,0.2,0.0178571429
534,0.01184,0.8,0.0714285714
535,0.04544,2,0.1785714286
536,0.12352,1.2,0.1071428571
537,0.07488,1.2,0.1071428571
538,0.0416,0.8,0.0714285714
539,0,0.4,0.0357142857
540,0.02176,0.6,0.0535714286
541,0.0336,2.2,0.1964285714
542,0.11552,2.2,0.1964285714
543,0.01184,0.2,0.0178571429
544,0.00992,0.2,0.0178571429
545,0.02176,0.4,0.0357142857
546,0.0224,0.2,0.0178571429
547,0.00992,0.2,0.0178571429
548,0.13824,2.4,0.2142857143
549,0.02048,1.8,0.1607142857
550,0.0912,0.2,0.0178571429
551,0.00992,0.2,0.0178571429
552,0.01184,0.8,0.0714285714
553,0.04672,0.8,0.0714285714
554,0.0624,1.6,0.1428571429
555,0.08352,0.4,0.0357142857
556,0.03232,0.4,0.0357142857
557,0.12032,2,0.1785714286
558,0.10496,2,0.1785714286
559,0.01056,0.2,0.0178571429
560,0.01184,0.2,0.0178571429
561,0.20032,0.4,0.0357142857
562,0.02176,0,0
563,0,0.2,0.0178571429
564,0.01184,0.2,0.0178571429
565,0.03328,0.6,0.0535714286
566,0.09856,0,0
567,0,0,0
568,0.01184,0,0
569,0,0,0
570,0.08448,0,0
571,0,1.8,0.1607142857
572,0.1104,0.6,0.0535714286
573,0.03552,0.6,0.0535714286
574,0.02368,0.4,0.0357142857
575,0.01184,0.2,0.0178571429
576,0.07104,1.2,0.1071428571
577,0,0,0
578,0.00992,0.2,0.0178571429
579,0.02176,0.4,0.0357142857
580,0.00992,0.2,0.0178571429
581,0.00992,0.2,0.0178571429
582,0.1184,0.4,0.0357142857
583,0.02496,1,0.0892857143
584,0.0624,0.8,0.0714285714
585,0.04544,0.8,0.0714285714
586,0.01184,0.2,0.0178571429
587,0,0.2,0.0178571429
588,0.01056,0.2,0.0178571429
589,0.04352,1.6,0.1428571429
590,0.08064,1.6,0.1428571429
591,0.01056,0.2,0.0178571429
592,0.12896,2.2,0.1964285714
593,0.11136,1.4,0.125
594,0.08544,1,0.0892857143
595,0.0592,0.2,0.0178571429
596,0.01184,0.2,0.0178571429
597,0.02368,0.2,0.0178571429
598,0.01184,1.4,0.125
599,0.08096,2.2,0.1964285714
600,0.13664,2.2,0.1964285714
601,0.03296,1,0.0892857143
602,0.05728,1,0.0892857143
603,0.048,1.4,0.125
604,0.08288,1.4,0.125
605,0.02368,0,0
606,0,2.8,0.25
607,0.17088,2.8,0.25
608,0.02368,0.6,0.0535714286
609,0.0336,0.8,0.0714285714
610,0.04736,0.8,0.0714285714
611,0.1488,0,0
612,0,0.8,0.0714285714
613,0.04736,0.8,0.0714285714
614,0.0592,2,0.1785714286
615,0.10624,1.4,0.125
616,0.0848,1.8,0.1607142857
617,0.10528,0.6,0.0535714286
618,0.03552,0,0
619,0,0.8,0.0714285714
620,0.04736,0.4,0.0357142857
621,0.0224,2.6,0.2321428571
622,0.15008,0.8,0.0714285714
623,0.048,1.2,0.1071428571
624,0.07424,0.4,0.0357142857
625,0.02176,0,0
626,0,0,0
627,0.01248,0.2,0.0178571429
628,0.0848,0.8,0.0714285714
629,0.04544,2.2,0.1964285714
630,0.12,0.2,0.0178571429
631,0.01184,0.2,0.0178571429
632,0.00992,0.2,0.0178571429
633,0.00992,1,0.0892857143
634,0.05312,1,0.0892857143
635,0.07104,0.2,0.0178571429
636,0.01184,0.2,0.0178571429
637,0.08128,0.6,0.0535714286
638,0.03552,1.2,0.1071428571
639,0.07488,1.2,0.1071428571
640,0.02368,0.4,0.0357142857
641,0.0224,0.4,0.0357142857
642,0.03552,1.4,0.125
643,0.08672,1.4,0.125
644,0.01184,0,0
645,0,0.2,0.0178571429
646,0.01184,1,0.0892857143
647,0.056,0.4,0.0357142857
648,0.02432,0.8,0.0714285714
649,0.04672,0.4,0.0357142857
650,0.02176,0.4,0.0357142857
651,0.01184,0.2,0.0178571429
652,0.17824,3.4,0.3035714286
653,0.13344,0.2,0.0178571429
654,0.00992,0,0
655,0,0,0
656,0.04544,0.8,0.0714285714
657,0,0.2,0.0178571429
658,0.01184,0.2,0.0178571429
659,0.01184,1.4,0.125
660,0.07328,0.2,0.0178571429
661,0.00992,0.2,0.0178571429
662,0.03552,1.6,0.1428571429
663,0.0928,2,0.1785714286
664,0.10112,2.2,0.1964285714
665,0.11936,1,0.0892857143
666,0.0592,0.4,0.0357142857
667,0.02368,0.4,0.0357142857
668,0.02368,0.4,0.0357142857
669,0.06336,0,0
670,0,0,0
671,0.01184,0.2,0.0178571429
672,0.01184,1.2,0.1071428571
673,0.07104,1.6,0.1428571429
674,0.09024,1.6,0.1428571429
675,0.06336,0.2,0.0178571429
