,throughput,new_flow
204,0.10112,2.0
205,0.00992,0.0
206,0.0,0.0
207,0.01184,0.6
208,0.033280000000000004,0.0
209,0.0,0.0
210,0.0,0.2
211,0.01184,0.0
212,0.0,0.8
213,0.04224,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.2
221,0.00992,0.2
222,0.021759999999999998,0.2
223,0.00992,0.2
224,0.00992,1.2
225,0.07103999999999999,1.2
226,0.02496,0.0
227,0.0,0.8
228,0.045439999999999994,0.0
229,0.0,0.0
230,0.0,0.0
231,0.01056,0.6
232,0.03168,1.6
233,0.08064,1.6
234,0.01056,0.6
235,0.03168,0.6
236,0.07968,1.0
237,0.06176,1.0
238,0.02368,0.2
239,0.01184,0.0
240,0.0,0.4
241,0.021759999999999998,0.0
242,0.0,0.0
243,0.0,0.0
244,0.01184,0.6
245,0.0336,0.6
246,0.01184,0.6
247,0.035519999999999996,0.6
248,0.02368,0.0
249,0.0,0.4
250,0.021759999999999998,0.4
251,0.02368,0.2
252,0.00992,0.2
253,0.01184,0.2
254,0.00992,0.0
255,0.0,0.0
256,0.0,0.0
257,0.01184,1.0
258,0.052160000000000005,0.2
259,0.00992,2.0
260,0.11712,2.0
261,0.01184,0.2
262,0.0,0.4
263,0.02368,0.6
264,0.03424,2.4
265,0.13824,2.4
266,0.035519999999999996,0.0
267,0.0,0.0
268,0.021759999999999998,0.0
269,0.0,0.0
270,0.0,0.2
271,0.00992,0.2
272,0.021759999999999998,1.0
273,0.054079999999999996,0.0
274,0.0,0.2
275,0.00992,0.4
276,0.01984,0.4
277,0.03136,1.2
278,0.07103999999999999,1.2
279,0.01184,1.4
280,0.06944,0.0
281,0.0,0.0
282,0.0,0.0
283,0.01184,0.2
284,0.01056,0.0
285,0.0,0.0
286,0.01184,0.2
287,0.01184,0.0
288,0.0,0.2
289,0.01184,1.0
290,0.05536,1.0
291,0.01248,0.4
